,진료년도,상병구분,시도,SIGUNGU_NM,SIGUNGU_CD,성별,연령군,환자수,입내원일수,요양급여비용총액
228,2023,ADHD,서울,성동구,11040,남,80~89세,0,0,0
229,2023,ADHD,서울,성동구,11040,남,90~99세,0,0,0
230,2023,ADHD,서울,성동구,11040,남,100세 이상,0,0,0
231,2023,ADHD,서울,성동구,11040,여,0~9세,69,405,39410080
232,2023,ADHD,서울,성동구,11040,여,10~19세,178,1126,126956290
233,2023,ADHD,서울,성동구,11040,여,20~29세,286,2067,211530140
234,2023,ADHD,서울,성동구,11040,여,30~39세,174,1157,125896840
235,2023,ADHD,서울,성동구,11040,여,40~49세,48,300,31394420
236,2023,ADHD,서울,성동구,11040,여,50~59세,14,84,6999820
237,2023,ADHD,서울,성동구,11040,여,60~69세,0,0,0
238,2023,ADHD,서울,성동구,11040,여,70~79세,0,0,0
239,2023,ADHD,서울,성동구,11040,여,80~89세,0,0,0
240,2023,ADHD,서울,성동구,11040,여,90~99세,0,0,0
241,2023,ADHD,서울,성동구,11040,여,100세 이상,0,0,0
242,2023,ADHD,서울,성북구,11080,남,0~9세,384,2372,157138310
243,2023,ADHD,서울,성북구,11080,남,10~19세,653,4583,276601640
244,2023,ADHD,서울,성북구,11080,남,20~29세,258,1684,124580390
245,2023,ADHD,서울,성북구,11080,남,30~39세,79,444,37247310
246,2023,ADHD,서울,성북구,11080,남,40~49세,22,130,9632550
247,2023,ADHD,서울,성북구,11080,남,50~59세,0,0,0
248,2023,ADHD,서울,성북구,11080,남,60~69세,0,0,0
249,2023,ADHD,서울,성북구,11080,남,70~79세,0,0,0
250,2023,ADHD,서울,성북구,11080,남,80~89세,0,0,0
251,2023,ADHD,서울,성북구,11080,남,90~99세,0,0,0
252,2023,ADHD,서울,성북구,11080,남,100세 이상,0,0,0
253,2023,ADHD,서울,성북구,11080,여,0~9세,127,632,44834630
254,2023,ADHD,서울,성북구,11080,여,10~19세,284,1882,115298460
